s_num,ep_num,nth_s_ep,seg_num,seg_name,seg_url
1,Episode_12,19,5,Amber Swartz,https://unsolvedmysteries.fandom.com//wiki/Amber_Swartz
1,Episode_12,19,6,The Crew of the Liebling,https://unsolvedmysteries.fandom.com//wiki/The_Crew_of_the_Liebling
1,Episode_13,20,1,Micki Jo West,https://unsolvedmysteries.fandom.com//wiki/Micki_Jo_West
1,Episode_13,20,2,David Davis,https://unsolvedmysteries.fandom.com//wiki/David_Davis
1,Episode_13,20,2,mw-redirect,https://unsolvedmysteries.fandom.com//wiki/Shannon_Davis
1,Episode_13,20,3,The Brother of Sylvia Wemhoff,https://unsolvedmysteries.fandom.com//wiki/The_Brother_of_Sylvia_Wemhoff
1,Episode_13,20,3,Margaret Murphy,https://unsolvedmysteries.fandom.com//wiki/Margaret_Murphy
1,Episode_13,20,4,Marlene Santana,https://unsolvedmysteries.fandom.com//wiki/Marlene_Santana
1,Episode_13,20,4,Carlina White,https://unsolvedmysteries.fandom.com//wiki/Carlina_White
1,Episode_13,20,4,Christopher Abeyta,https://unsolvedmysteries.fandom.com//wiki/Christopher_Abeyta
1,Episode_13,20,5,The Bald Mountain Shooters,https://unsolvedmysteries.fandom.com//wiki/The_Bald_Mountain_Shooters
1,Episode_13,20,6,Robert Leads,https://unsolvedmysteries.fandom.com//wiki/Robert_Leads
1,Episode_14,21,1,Face on Mars,https://unsolvedmysteries.fandom.com//wiki/Face_on_Mars
1,Episode_14,21,2,Arthur Frankford,https://unsolvedmysteries.fandom.com//wiki/Arthur_Frankford
1,Episode_14,21,3,Kathy Hobbs,https://unsolvedmysteries.fandom.com//wiki/Kathy_Hobbs
1,Episode_14,21,4,Philip Pelletier,https://unsolvedmysteries.fandom.com//wiki/Philip_Pelletier
1,Episode_14,21,5,Jackie Harrington,https://unsolvedmysteries.fandom.com//wiki/Jackie_Harrington
1,Episode_14,21,6,Angelo Desideri,https://unsolvedmysteries.fandom.com//wiki/Angelo_Desideri
1,Episode_15,22,1,Frank Morris and the Anglin Brothers,https://unsolvedmysteries.fandom.com//wiki/Frank_Morris_and_the_Anglin_Brothers
1,Episode_15,22,2,Jean Marie Gagnon,https://unsolvedmysteries.fandom.com//wiki/Jean_Marie_Gagnon
1,Episode_15,22,3,Thomas Nauss Jr.,https://unsolvedmysteries.fandom.com//wiki/Thomas_Nauss_Jr.
1,Episode_15,22,3,Carl Alfred Eder,https://unsolvedmysteries.fandom.com//wiki/Carl_Alfred_Eder
1,Episode_15,22,3,Lena Regina Smith,https://unsolvedmysteries.fandom.com//wiki/Lena_Regina_Smith
1,Episode_15,22,3,Joseph Mancini,https://unsolvedmysteries.fandom.com//wiki/Joseph_Mancini
1,Episode_16,23,1,Mickey and Trudy Thompson,https://unsolvedmysteries.fandom.com//wiki/Mickey_and_Trudy_Thompson
1,Episode_16,23,2,The Bald Mountain Shooters,https://unsolvedmysteries.fandom.com//wiki/The_Bald_Mountain_Shooters
